vid freq_of_visit
DNK001 0.3
DNK001 0.3
DNK001 0.2
DNK001 0.2
DNK002 0.2
DNK002 0.2
DNK002 0.6
DNK003 0.2
DNK003 0.2
DNK003 0.6
DNK004 0.2
DNK004 0.2
DNK004 0.6
DNK005 0.2
DNK005 0.2
DNK005 0.6
DNK006 0.2
DNK006 0.2
DNK006 0.6
DNK007 0.2
DNK007 0.2
DNK007 0.6
DNK008 0.2
DNK008 0.2
DNK008 0.6
DNK009 0.2
DNK009 0.2
DNK009 0.6
DNK010 0.2
DNK010 0.2
DNK010 0.6
DNK011 0.2
DNK011 0.2
DNK011 0.6
DNK012 0.2
DNK012 0.2
DNK012 0.6
DNK013 0.2
DNK013 0.2
DNK013 0.6
DNK014 0.2
DNK014 0.2
DNK014 0.6
DNK015 0.2
DNK015 0.2
DNK015 0.6
DNK016 0.2
DNK016 0.2
DNK016 0.6
DNK017 0.2
DNK017 0.2
DNK017 0.6
DNK018 0.2
DNK018 0.2
DNK018 0.6
DNK019 0.2
DNK019 0.2
DNK019 0.6
DNK020 0.2
DNK020 0.2
DNK020 0.6
DNK021 0.2
DNK021 0.2
DNK021 0.6
DNK022 0.2
DNK022 0.2
DNK022 0.6
DNK023 0.2
DNK023 0.2
DNK023 0.6
DNK024 0.2
DNK024 0.2
DNK024 0.6
DNK025 0.2
DNK025 0.2
DNK025 0.6
DNK026 0.2
DNK026 0.2
DNK026 0.6
DNK027 0.2
DNK027 0.2
DNK027 0.6
DNK028 0.2
DNK028 0.2
DNK028 0.6
DNK029 0.2
DNK029 0.2
DNK029 0.6
DNK030 0.2
DNK030 0.2
DNK030 0.6
