vid freq_of_visit
DNK001 0.3
DNK001 0.3
DNK001 0.2
DNK001 0.2
DNK002 0.2
DNK002 0.2
DNK002 0.6
DNK003 0.2
DNK003 0.2
DNK003 0.6
DNK004 0.2
DNK004 0.2
DNK004 0.6
DNK005 0.2
DNK005 0.2
DNK005 0.6
DNK006 0.2
DNK006 0.2
DNK006 0.6
DNK007 0.2
DNK007 0.2
DNK007 0.6
DNK008 0.2
DNK008 0.2
DNK008 0.6
DNK009 0.2
DNK009 0.2
DNK009 0.6
DNK010 0.2
DNK010 0.2
DNK010 0.6
DNK011 0.2
DNK011 0.2
DNK011 0.6
DNK012 0.2
DNK012 0.2
DNK012 0.6
DNK013 0.2
DNK013 0.2
DNK013 0.6
DNK014 0.2
DNK014 0.2
DNK014 0.6
DNK015 0.2
DNK015 0.2
DNK015 0.6
DNK016 0.2
DNK016 0.2
DNK016 0.6
DNK017 0.2
DNK017 0.2
DNK017 0.6
DNK018 0.2
DNK018 0.2
DNK018 0.6
DNK019 0.2
DNK019 0.2
DNK019 0.6
DNK020 0.2
DNK020 0.2
DNK020 0.6
DNK021 0.2
DNK021 0.2
DNK021 0.6
DNK022 0.2
DNK022 0.2
DNK022 0.6
DNK023 0.2
DNK023 0.2
DNK023 0.6
DNK024 0.2
DNK024 0.2
DNK024 0.6
DNK025 0.2
DNK025 0.2
DNK025 0.6
DNK026 0.2
DNK026 0.2
DNK026 0.6
DNK027 0.2
DNK027 0.2
DNK027 0.6
DNK028 0.2
DNK028 0.2
DNK028 0.6
DNK029 0.2
DNK029 0.2
DNK029 0.6
DNK030 0.2
DNK030 0.2
DNK030 0.6
DNK031 0.2
DNK031 0.2
DNK031 0.6
DNK032 0.2
DNK032 0.2
DNK032 0.6
DNK033 0.2
DNK033 0.2
DNK033 0.6
DNK034 0.2
DNK034 0.2
DNK034 0.6
DNK035 0.2
DNK035 0.2
DNK035 0.6
DNK036 0.2
DNK036 0.2
DNK036 0.6
DNK037 0.2
DNK037 0.2
DNK037 0.6
DNK038 0.2
DNK038 0.2
DNK038 0.6
DNK039 0.2
DNK039 0.2
DNK039 0.6
DNK040 0.2
DNK040 0.2
DNK040 0.6
DNK041 0.2
DNK041 0.2
DNK041 0.6
DNK042 0.2
DNK042 0.2
DNK042 0.6
DNK043 0.2
DNK043 0.2
DNK043 0.6
DNK044 0.2
DNK044 0.2
DNK044 0.6
DNK045 0.2
DNK045 0.2
DNK045 0.6
DNK046 0.2
DNK046 0.2
DNK046 0.6
DNK047 0.2
DNK047 0.2
DNK047 0.6
DNK048 0.2
DNK048 0.2
DNK048 0.6
DNK049 0.2
DNK049 0.2
DNK049 0.6
DNK050 0.2
DNK050 0.2
DNK050 0.6
DNK051 0.2
DNK051 0.2
DNK051 0.6
DNK052 0.2
DNK052 0.2
DNK052 0.6
DNK053 0.2
DNK053 0.2
DNK053 0.6
DNK054 0.2
DNK054 0.2
DNK054 0.6
DNK055 0.2
DNK055 0.2
DNK055 0.6
DNK056 0.2
DNK056 0.2
DNK056 0.6
DNK057 0.2
DNK057 0.2
DNK057 0.6
DNK058 0.2
DNK058 0.2
DNK058 0.6
DNK059 0.2
DNK059 0.2
DNK059 0.6
DNK060 0.2
DNK060 0.2
DNK060 0.6
DNK061 0.2
DNK061 0.2
DNK061 0.6
DNK062 0.2
DNK062 0.2
DNK062 0.6
DNK063 0.2
DNK063 0.2
DNK063 0.6
DNK064 0.2
DNK064 0.2
DNK064 0.6
DNK065 0.2
DNK065 0.2
DNK065 0.6
DNK066 0.2
DNK066 0.2
DNK066 0.6
DNK067 0.2
DNK067 0.2
DNK067 0.6
DNK068 0.2
DNK068 0.2
DNK068 0.6
DNK069 0.2
DNK069 0.2
DNK069 0.6
DNK070 0.2
DNK070 0.2
DNK070 0.6
DNK071 0.2
DNK071 0.2
DNK071 0.6
DNK072 0.2
DNK072 0.2
DNK072 0.6
DNK073 0.2
DNK073 0.2
DNK073 0.6
DNK074 0.2
DNK074 0.2
DNK074 0.6
DNK075 0.2
DNK075 0.2
DNK075 0.6
DNK076 0.2
DNK076 0.2
DNK076 0.6
DNK077 0.2
DNK077 0.2
DNK077 0.6
DNK078 0.2
DNK078 0.2
DNK078 0.6
DNK079 0.2
DNK079 0.2
DNK079 0.6
DNK080 0.2
DNK080 0.2
DNK080 0.6
DNK081 0.2
DNK081 0.2
DNK081 0.6
DNK082 0.2
DNK082 0.2
DNK082 0.6
DNK083 0.2
DNK083 0.2
DNK083 0.6
DNK084 0.2
DNK084 0.2
DNK084 0.6
DNK085 0.2
DNK085 0.2
DNK085 0.6
DNK086 0.2
DNK086 0.2
DNK086 0.6
DNK087 0.2
DNK087 0.2
DNK087 0.6
DNK088 0.2
DNK088 0.2
DNK088 0.6
DNK089 0.2
DNK089 0.2
DNK089 0.6
DNK090 0.2
DNK090 0.2
DNK090 0.6
DNK091 0.2
DNK091 0.2
DNK091 0.6
DNK092 0.2
DNK092 0.2
DNK092 0.6
DNK093 0.2
DNK093 0.2
DNK093 0.6
DNK094 0.2
DNK094 0.2
DNK094 0.6
DNK095 0.2
DNK095 0.2
DNK095 0.6
DNK096 0.2
DNK096 0.2
DNK096 0.6
DNK097 0.2
DNK097 0.2
DNK097 0.6
DNK098 0.2
DNK098 0.2
DNK098 0.6
DNK099 0.2
DNK099 0.2
DNK099 0.6
