vid idx_nodes
DNK001 1600
DNK001 16
DNK001 119
DNK001 118
DNK002 1600
DNK002 14
DNK002 13
DNK003 1600
DNK003 119
DNK003 118
DNK004 1600
DNK004 68
DNK004 70
DNK005 49
DNK005 48
DNK005 1600
DNK006 119
DNK006 18
DNK006 118
DNK007 1589
DNK007 78
DNK007 1600
DNK008 1589
DNK008 0.2
DNK008 1600
DNK009 1589
DNK009 78
DNK009 1600
DNK010 1589
DNK010 78
DNK010 1600
DNK011 1589
DNK011 78
DNK011 1600
DNK012 1589
DNK012 78
DNK012 1600
DNK013 1589
DNK013 78
DNK013 1600
DNK014 1589
DNK014 78
DNK014 1600
DNK015 1589
DNK015 78
DNK015 1600
DNK016 1589
DNK016 78
DNK016 1600
DNK017 1589
DNK017 78
DNK017 1600
DNK018 1589
DNK018 78
DNK018 1600
DNK019 1589
DNK019 78
DNK019 1600
DNK020 1589
DNK020 78
DNK020 1600
DNK021 1589
DNK021 78
DNK021 1600
DNK022 1589
DNK022 78
DNK022 1600
DNK023 1589
DNK023 78
DNK023 1600
DNK024 1589
DNK024 78
DNK024 1600
DNK025 1589
DNK025 78
DNK025 1600
DNK026 1589
DNK026 78
DNK026 1600
DNK027 1589
DNK027 78
DNK027 1600
DNK028 1589
DNK028 78
DNK028 1600
DNK029 1589
DNK029 78
DNK029 1600
DNK030 1589
DNK030 78
DNK030 1600
