vid freq_of_visit_on_nodes
DNK001 0.1
DNK001 0.1
DNK001 0.1
DNK001 0.7
DNK002 0.1
DNK002 0.1
DNK002 0.8
DNK003 0.1
DNK003 0.1
DNK003 0.8
DNK004 0.1
DNK004 0.1
DNK004 0.8
DNK005 0.1
DNK005 0.1
DNK005 0.1
DNK005 0.7
DNK006 0.1
DNK006 0.1
DNK006 0.8
DNK007 0.6
DNK007 0.1
DNK007 0.1
DNK007 0.1
DNK007 0.1
DNK008 0.6
DNK008 0.1
DNK008 0.1
DNK008 0.1
DNK008 0.1
DNK009 0.6
DNK009 0.1
DNK009 0.1
DNK009 0.1
DNK009 0.1
DNK010 0.6
DNK010 0.1
DNK010 0.1
DNK010 0.1
DNK010 0.1
DNK011 0.6
DNK011 0.1
DNK011 0.1
DNK011 0.1
DNK011 0.1
DNK012 0.6
DNK012 0.1
DNK012 0.1
DNK012 0.1
DNK012 0.1
DNK013 0.6
DNK013 0.1
DNK013 0.1
DNK013 0.1
DNK013 0.1
DNK014 0.6
DNK014 0.1
DNK014 0.1
DNK014 0.1
DNK014 0.1
DNK015 0.6
DNK015 0.1
DNK015 0.1
DNK015 0.1
DNK015 0.1
DNK016 0.6
DNK016 0.1
DNK016 0.1
DNK016 0.1
DNK016 0.1
DNK017 0.6
DNK017 0.1
DNK017 0.1
DNK017 0.1
DNK017 0.1
DNK018 0.6
DNK018 0.1
DNK018 0.1
DNK018 0.1
DNK018 0.1
DNK019 0.6
DNK019 0.1
DNK019 0.1
DNK019 0.1
DNK019 0.1
DNK020 0.6
DNK020 0.1
DNK020 0.1
DNK020 0.1
DNK020 0.1
DNK021 0.6
DNK021 0.1
DNK021 0.1
DNK021 0.1
DNK021 0.1
DNK022 0.6
DNK022 0.1
DNK022 0.1
DNK022 0.1
DNK022 0.1
DNK023 0.6
DNK023 0.1
DNK023 0.1
DNK023 0.1
DNK023 0.1
DNK024 0.6
DNK024 0.1
DNK024 0.1
DNK024 0.1
DNK024 0.1
DNK025 0.6
DNK025 0.1
DNK025 0.1
DNK025 0.1
DNK025 0.1
DNK026 0.6
DNK026 0.1
DNK026 0.1
DNK026 0.1
DNK026 0.1
DNK027 0.6
DNK027 0.1
DNK027 0.1
DNK027 0.1
DNK027 0.1
DNK028 0.6
DNK028 0.1
DNK028 0.1
DNK028 0.1
DNK028 0.1
DNK029 0.6
DNK029 0.1
DNK029 0.1
DNK029 0.1
DNK029 0.1
DNK030 0.6
DNK030 0.1
DNK030 0.1
DNK030 0.1
DNK030 0.1
DNK031 0.6
DNK031 0.1
DNK031 0.1
DNK031 0.1
DNK031 0.1
DNK032 0.6
DNK032 0.1
DNK032 0.1
DNK032 0.1
DNK032 0.1
DNK033 0.6
DNK033 0.1
