vid idx_nodes
DNK001 1600
DNK001 16
DNK001 119
DNK001 118
DNK002 1600
DNK002 14
DNK002 13
DNK003 1600
DNK003 119
DNK003 118
DNK004 1600
DNK004 68
DNK004 70
DNK005 49
DNK005 48
DNK005 1600
DNK006 119
DNK006 18
DNK006 118
DNK007 1589
DNK007 78
DNK007 1600
DNK008 1589
DNK008 78
DNK008 1600
DNK009 1589
DNK009 78
DNK009 1600
DNK010 1589
DNK010 78
DNK010 1600
DNK011 1589
DNK011 78
DNK011 1600
DNK012 1589
DNK012 78
DNK012 1600
DNK013 1589
DNK013 78
DNK013 1600
DNK014 1589
DNK014 78
DNK014 1600
DNK015 1589
DNK015 78
DNK015 1600
DNK016 1589
DNK016 78
DNK016 1600
DNK017 1589
DNK017 78
DNK017 1600
DNK018 1589
DNK018 78
DNK018 1600
DNK019 1589
DNK019 78
DNK019 1600
DNK020 1589
DNK020 78
DNK020 1600
DNK021 1589
DNK021 78
DNK021 1600
DNK022 1589
DNK022 78
DNK022 1600
DNK023 1589
DNK023 78
DNK023 1600
DNK024 1589
DNK024 78
DNK024 1600
DNK025 1589
DNK025 78
DNK025 1600
DNK026 1589
DNK026 78
DNK026 1600
DNK027 1589
DNK027 78
DNK027 1600
DNK028 1589
DNK028 78
DNK028 1600
DNK029 1589
DNK029 78
DNK029 1600
DNK030 1589
DNK030 78
DNK030 1600
DNK031 1589
DNK031 78
DNK031 1600
DNK032 1589
DNK032 78
DNK032 1600
DNK033 1589
DNK033 78
DNK033 1600
DNK034 1589
DNK034 78
DNK034 1600
DNK035 1589
DNK035 78
DNK035 1600
DNK036 1589
DNK036 78
DNK036 1600
DNK037 1589
DNK037 78
DNK037 1600
DNK038 1589
DNK038 78
DNK038 1600
DNK039 1589
DNK039 78
DNK039 1600
DNK040 1589
DNK040 78
DNK040 1600
DNK041 1589
DNK041 78
DNK041 1600
DNK042 1589
DNK042 78
DNK042 1600
DNK043 1589
DNK043 78
DNK043 1600
DNK044 1589
DNK044 78
DNK044 1600
DNK045 1589
DNK045 78
DNK045 1600
DNK046 1589
DNK046 78
DNK046 1600
DNK047 1589
DNK047 78
DNK047 1600
DNK048 1589
DNK048 78
DNK048 1600
DNK049 1589
DNK049 78
DNK049 1600
DNK050 1589
DNK050 78
DNK050 1600
DNK051 1589
DNK051 78
DNK051 1600
DNK052 1589
DNK052 78
DNK052 1600
DNK053 1589
DNK053 78
DNK053 1600
DNK054 1589
DNK054 78
DNK054 1600
DNK055 1589
DNK055 78
DNK055 1600
DNK056 1589
DNK056 78
DNK056 1600
DNK057 1589
DNK057 78
DNK057 1600
DNK058 1589
DNK058 78
DNK058 1600
DNK059 1589
DNK059 78
DNK059 1600
DNK060 1589
DNK060 78
DNK060 1600
DNK061 1589
DNK061 78
DNK061 1600
DNK062 1589
DNK062 78
DNK062 1600
DNK063 1589
DNK063 78
DNK063 1600
DNK064 1589
DNK064 78
DNK064 1600
DNK065 1589
DNK065 78
DNK065 1600
DNK066 1589
DNK066 78
DNK066 1600
DNK067 1589
DNK067 78
DNK067 1600
DNK068 1589
DNK068 78
DNK068 1600
DNK069 1589
DNK069 78
DNK069 1600
DNK070 1589
DNK070 78
DNK070 1600
DNK071 1589
DNK071 78
DNK071 1600
DNK072 1589
DNK072 78
DNK072 1600
DNK073 1589
DNK073 78
DNK073 1600
DNK074 1589
DNK074 78
DNK074 1600
DNK075 1589
DNK075 78
DNK075 1600
DNK076 1589
DNK076 78
DNK076 1600
DNK077 1589
DNK077 78
DNK077 1600
DNK078 1589
DNK078 78
DNK078 1600
DNK079 1589
DNK079 78
DNK079 1600
DNK080 1589
DNK080 78
DNK080 1600
DNK081 1589
DNK081 78
DNK081 1600
DNK082 1589
DNK082 78
DNK082 1600
DNK083 1589
DNK083 78
DNK083 1600
DNK084 1589
DNK084 78
DNK084 1600
DNK085 1589
DNK085 78
DNK085 1600
DNK086 1589
DNK086 78
DNK086 1600
DNK087 1589
DNK087 78
DNK087 1600
DNK088 1589
DNK088 78
DNK088 1600
DNK089 1589
DNK089 78
DNK089 1600
DNK090 1589
DNK090 78
DNK090 1600
DNK091 1589
DNK091 78
DNK091 1600
DNK092 1589
DNK092 78
DNK092 1600
DNK093 1589
DNK093 78
DNK093 1600
DNK094 1589
DNK094 78
DNK094 1600
DNK095 1589
DNK095 78
DNK095 1600
DNK096 1589
DNK096 78
DNK096 1600
DNK097 1589
DNK097 78
DNK097 1600
DNK098 1589
DNK098 78
DNK098 1600
DNK099 1589
DNK099 78
DNK099 1600
